Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
1892125,TRANSPORTES GABARDO LTDA,0.6000000000000001,13574.216666666664,0.14733937992738685,3.0,0.0,3,0
1892032,EVA IOLANDA TRANSPORTES LTDA,0.19,14622.526315789475,0.16686223130857938,1.0,0.0,1,0
1891298,SS SERVICOS DE GUINDASTES LTDA,0.2,13667.5,0.06525333821108469,1.0,0.0,1,0
1889346,AGTHERM REFRIGERACAO INDUSTRIAL LTD,0.4,12295.175,0.19049952522025917,1.0,0.0,1,0
7327,CERPA CERVEJARIA PARAENSE SA,0.6,13187.900000000001,0.20043499470474196,1.0,0.0,1,0
7289,BELEM HOTEIS E TURISMO S/A,1.4,10030.942857142858,0.169479866584255,1.0,0.0,1,0
7095,NAVEGACAO CUNHA LTDA,4.62,13481.51948051948,0.27634446513441036,1.826086956521739,0.0,4,0
1887380,J A DA SILVA LTDA,6.720000000000001,12013.104166666668,0.060861118178734866,2.0,0.0,5,0
1887377,CASTILHO ENGENHARIA E EMPREENDIMENT,1.4,11144.764285714287,-0.0004082634574723429,1.0,0.0,1,0
1886601,SAMUEL SANTOS DE OLIVEIRA TRANSPORT,0.08,12484.625,0.16820689448021067,1.0,0.0,1,0
1787370,A MADEIRA INDUSTRIA E COMERCIO LTDA,0.4,12701.65,0.27503119673428256,1.0,0.0,1,0
1787183,JULIO EDUARDO SIMOES,1.06,13831.17924528302,0.14728072000300113,3.5,0.0,6,0
1787176,SACS CONSTRUCAO E MONTAGEM LTDA,7.46,13718.753351206433,0.21181099823239555,2.25,0.05263157894736842,6,0
1787009,AXIA ENERGIA S.A.,3.88,10252.922680412372,0.11490563163533456,1.0,0.0,2,0
1786918,KATHARINA TRANSPORTES E LOCACAO DE,1.0,11826.39,0.19583490820106558,1.0,0.0,1,0
1786726,CENTRAIS ELETRICAS BRASILEIRAS SA E,0.58,12763.931034482759,0.17807182956283063,1.0,0.0,1,0
