cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
30689889000127,30689889,0001,27
02731949000197,02731949,0001,97
02035105000101,02035105,0001,01
12478298000129,12478298,0001,29
39378955000112,39378955,0001,12
27583202000160,27583202,0001,60
28039121000166,28039121,0001,66
32431033000182,32431033,0001,82
02724209000204,02724209,0002,04
29915238000129,29915238,0001,29
31688351000160,31688351,0001,60
13553578000117,13553578,0001,17
96713847000192,96713847,0001,92
61079117016443,61079117,0164,43
61079117010917,61079117,0109,17
61079117025604,61079117,0256,04
73410326014706,73410326,0147,06
08588911000606,08588911,0006,06
08588911002056,08588911,0020,56
13254104000174,13254104,0001,74
09075242000119,09075242,0001,19
61288940006749,61288940,0067,49
30069314002821,30069314,0028,21
30069314003208,30069314,0032,08
30069314006576,30069314,0065,76
30069314008609,30069314,0086,09
07677731000115,07677731,0001,15
07677731000972,07677731,0009,72
11889780000199,11889780,0001,99
61084018000103,61084018,0001,03
32681371000172,32681371,0001,72
32681371000334,32681371,0003,34
32681371001497,32681371,0014,97
32681371003350,32681371,0033,50
32681371003864,32681371,0038,64
32681371004674,32681371,0046,74
32681371000504,32681371,0005,04
32681371004917,32681371,0049,17
32681371005131,32681371,0051,31
32681371005212,32681371,0052,12
32681371002892,32681371,0028,92
32681371005808,32681371,0058,08
32681371006456,32681371,0064,56
32681371006880,32681371,0068,80
32681371007002,32681371,0070,02
32681371007266,32681371,0072,66
09452900000578,09452900,0005,78
09452900001035,09452900,0010,35
09452900002945,09452900,0029,45
00394502002198,00394502,0021,98
00394502034804,00394502,0348,04
57012098000114,57012098,0001,14
06982746000205,06982746,0002,05
20827952000190,20827952,0001,90
34823806000100,34823806,0001,00
86442720000122,86442720,0001,22
22447684000298,22447684,0002,98
26242107001373,26242107,0013,73
17091690000134,17091690,0001,34
21718267000946,21718267,0009,46
21718267001080,21718267,0010,80
08579947000291,08579947,0002,91
66301334000103,66301334,0001,03
66301334000294,66301334,0002,94
66301334000707,66301334,0007,07
66301334001002,66301334,0010,02
03727541000104,03727541,0001,04
03349298000138,03349298,0001,38
08578982000105,08578982,0001,05
02118881000175,02118881,0001,75
41716499001197,41716499,0011,97
18329060000118,18329060,0001,18
01472377000106,01472377,0001,06
23627088000171,23627088,0001,71
18279158001007,18279158,0010,07
26070170000306,26070170,0003,06
26070170000489,26070170,0004,89
06982752000262,06982752,0002,62
42899187000157,42899187,0001,57
31808056000109,31808056,0001,09
20827952000352,20827952,0003,52
20786711000140,20786711,0001,40
65107971000180,65107971,0001,80
65107971000776,65107971,0007,76
65107971000695,65107971,0006,95
65107971000938,65107971,0009,38
65107971002043,65107971,0020,43
04702118000112,04702118,0001,12
