cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,situacao_cadastral,uf,municipio,cnae_fiscal_principal,cnae_principal_descricao,cnae_fiscal_secundaria
22192546001104,22192546,0011,04,2,02,MT,9871,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4212000,4299599,4313400,4319300,4399101,4399104,4399199,4930201,7112000,7119702,7732201"
03006548001885,03006548,0018,85,2,02,RN,1639,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,4211101
55384381000141,55384381,0001,41,1,02,MS,9087,0810009,Extração de basalto e beneficiamento associado,"0810004,0891600,0990402,4683400,4689301,7112000,7119702,8211300"
32325305000240,32325305,0002,40,2,02,RN,1603,3520402,Distribuição de combustíveis gasosos por redes urbanas,"0910600,3314799,4669999,4784900,4930203,5212500,5229099,5231102,5231103,6463800,7739099"
55727157000105,55727157,0001,05,1,02,RJ,6001,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","0910600,3314714,3900500,4619200,4663000,7112000,7490104,7739001"
56008934000124,56008934,0001,24,1,02,PE,2513,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4744099
57092477000161,57092477,0001,61,1,02,RJ,6001,0910600,Atividades de apoio à extração de petróleo e gás natural,"3314710,4669999,6462000,7112000,7490199"
33873577000752,33873577,0007,52,2,02,MG,4107,4299599,Outras obras de engenharia civil não especificadas anteriormente,"0230600,0990401,0990402,4211101,4213800,4292802,4313400,4399104,4399199,4612500,4613300,4930201,4930202,5212500,6399200,6463800,6810202,6821801,7020400,7731400"
00124733001886,00124733,0018,86,2,02,MT,0131,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4930201
57978466000183,57978466,0001,83,1,02,MG,4759,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4511102,7719599"
08877756000206,08877756,0002,06,2,02,MG,4123,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",4921302
59028770000195,59028770,0001,95,1,02,RJ,5867,4732600,Comércio varejista de lubrificantes,"4681805,4741500,4744001,8219999"
22332830000230,22332830,0002,30,2,02,MG,4359,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","4921301,4921302,4924800,4929901"
59653926000129,59653926,0001,29,1,02,PR,7691,4211101,Construção de rodovias e ferrovias,7112000
28154862002131,28154862,0021,31,2,02,MT,0137,4211101,Construção de rodovias e ferrovias,"3811400,4110700,4120400,4211102,4212000,4213800,4221901,4221902,4221903,4221904,4221905,4222701,4222702,4223500,4291000,4292801,4292802,4299501,4299599,4311801,4311802,4312600,4313400,4319300,4321500,4322301,4322302,4322303,4329104,4329105,4329199,4330499,4391600,4399101,4399103,4399104,4399105,4399199,4520001,6810201,7112000,7732201"
86608114000649,86608114,0006,49,2,02,MG,5403,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,5211701,5212500,5250804"
60881299001215,60881299,0012,15,2,02,SP,6349,1931400,Fabricação de álcool,"2052500,2062200,2063100,2110600,4646001,4646002,4684299,4689399,4930203"
04833584000480,04833584,0004,80,2,02,RJ,5849,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","4921302,4923002,4929901"
07191228008806,07191228,0088,06,2,02,SP,6817,4632001,Comércio atacadista de cereais e leguminosas beneficiados,"0163600,4622200,4632003,4692300,4744001,5211701"
35294771000385,35294771,0003,85,2,02,MG,5049,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana","4520005,4921301,4921302,4922102,4929901,4929902,4930202,5223100,7990200,8211300"
58840147000170,58840147,0001,70,1,02,MG,4953,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes","3314710,4399104,4662100,6463800,7490104,7739099,7820500"
19368927005923,19368927,0059,23,2,02,MT,9911,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,5211799,5212500,5250803,5250804,6810202,7711000,7719599,7731400,7739099,7820500"
44000941000524,44000941,0005,24,2,02,MG,4985,2592602,"Fabricação de produtos de trefilados de metal, exceto padronizados","2219600,2229399,3314710,4693100,7112000,7120100"
62016034000121,62016034,0001,21,1,02,PE,2531,4211101,Construção de rodovias e ferrovias,"4213800,4299599"
59320820002076,59320820,0020,76,2,02,SP,6831,2222600,Fabricação de embalagens de material plástico,
29363431000790,29363431,0007,90,2,02,GO,9329,5250804,Organização logística do transporte de carga,"5212500,7490104,7711000,7820500,8121400,8129000,8299799"
