cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
26481317,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
04538778,1621800,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",2,1
04448716,3831999,"Recuperação de materiais metálicos, exceto alumínio",1,1
00014148,4712100,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",1,1
61381943,4211101,Construção de rodovias e ferrovias,11,4
06125505,2222600,Fabricação de embalagens de material plástico,1,1
10471064,3312102,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",1,1
07175375,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",5,2
90228214,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2,1
13202747,4530705,Comércio a varejo de pneumáticos e câmaras-de-ar,1,1
28690900,4742300,Comércio varejista de material elétrico,1,1
45866316,2599399,Fabricação de outros produtos de metal não especificados anteriormente,3,2
26365747,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
38239725,3511501,Geração de energia elétrica,1,1
37770370,4742300,Comércio varejista de material elétrico,1,1
36146575,5221400,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",1,1
10667134,2599399,Fabricação de outros produtos de metal não especificados anteriormente,6,2
46027524,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
63517098,0210101,Cultivo de eucalipto,3,1
49191162,6493000,Administração de consórcios para aquisição de bens e direitos,1,1
15020020,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,2
00000018,8888888,Atividade Econônica não informada,1,1
00000059,9430800,Atividades de associações de defesa de direitos sociais,1,1
00090386,4721102,Padaria e confeitaria com predominância de revenda,1,1
01881662,2219600,Fabricação de artefatos de borracha não especificados anteriormente,3,1
05401407,4213800,"Obras de urbanização - ruas, praças e calçadas",1,1
04861311,4930203,Transporte rodoviário de produtos perigosos,3,2
15122187,4291000,"Obras portuárias, marítimas e fluviais",3,2
08054995,7112000,Serviços de engenharia,2,1
08952522,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
09467474,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
09070704,4391600,Obras de fundações,2,2
27185201,7112000,Serviços de engenharia,1,1
47399000,5510801,Hotéis,1,1
00132114,4223500,"Construção de redes de transportes por dutos, exceto para água e esgoto",2,1
57623761,0810009,Extração de basalto e beneficiamento associado,4,4
13349563,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",6,1
00005603,8888888,Atividade Econônica não informada,1,1
01962300,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",4,1
14072714,4774100,Comércio varejista de artigos de óptica,2,2
06963567,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1,1
04826023,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
03230112,4313400,Obras de terraplenagem,1,1
05989551,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",3,2
20490472,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
10892021,5212500,Carga e descarga,1,1
30775399,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",3,1
14054065,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
29201747,7112000,Serviços de engenharia,1,1
43814859,7112000,Serviços de engenharia,1,1
43091153,3821100,Tratamento e disposição de resíduos não-perigosos,1,1
44935685,4313400,Obras de terraplenagem,1,1
46954377,4299599,Outras obras de engenharia civil não especificadas anteriormente,2,1
00060520,5611203,"Lanchonetes, casas de chá, de sucos e similares",1,1
00000037,9420100,Atividades de organizações sindicais,1,1
13057440,3821100,Tratamento e disposição de resíduos não-perigosos,1,1
46574475,4912402,Transporte ferroviário de passageiros municipal e em região metropolitana,2,1
07686322,4211101,Construção de rodovias e ferrovias,1,1
67171769,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00003073,4789004,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,1,1
00132781,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
00000032,8112500,Condomínios prediais,1,1
08204419,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
11855413,5212500,Carga e descarga,1,1
17745056,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
11681460,0113000,Cultivo de cana-de-açúcar,1,1
22618188,4292802,Obras de montagem industrial,1,1
39403409,3314710,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,1,1
