cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
12059549,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",2,1
90149055,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
00653149,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,4,1
05498436,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
07549168,8422100,Defesa,2,1
14593521,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2,2
08247387,0113000,Cultivo de cana-de-açúcar,2,1
05870208,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",2,1
11243817,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",3,2
13191431,1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",4,2
19979914,8211300,Serviços combinados de escritório e apoio administrativo,2,1
17447589,1921700,Fabricação de produtos do refino de petróleo,1,1
15743303,3511501,Geração de energia elétrica,1,1
09020353,4211101,Construção de rodovias e ferrovias,2,1
12924624,4120400,Construção de edifícios,5,1
06562219,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4,3
43768512,5030101,Navegação de apoio marítimo,1,1
47015663,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
47962823,4391600,Obras de fundações,1,1
00000077,9601701,Lavanderias,1,1
00062930,4774100,Comércio varejista de artigos de óptica,1,1
02786494,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2,1
05740287,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
07255490,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
02506261,4399104,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,1,1
01295501,4930203,Transporte rodoviário de produtos perigosos,1,1
03076172,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
61318333,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
43204213,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,1,1
10984821,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",2,1
26816447,4930203,Transporte rodoviário de produtos perigosos,2,2
00070647,4789099,Comércio varejista de outros produtos não especificados anteriormente,1,1
07854334,4742300,Comércio varejista de material elétrico,1,1
06007800,3812200,Coleta de resíduos perigosos,4,2
12644621,2851800,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",1,1
11686050,3511501,Geração de energia elétrica,2,1
15821899,3821100,Tratamento e disposição de resíduos não-perigosos,1,1
19094822,4930203,Transporte rodoviário de produtos perigosos,1,1
10703285,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
00356328,4211101,Construção de rodovias e ferrovias,2,1
27939668,4110700,Incorporação de empreendimentos imobiliários,3,2
28891664,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
41759096,5231102,Atividades do Operador Portuário,1,1
55329291,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
23075739,3811400,Coleta de resíduos não-perigosos,2,1
00000024,9430800,Atividades de associações de defesa de direitos sociais,1,1
00000081,8711502,Instituições de longa permanência para idosos,1,1
00000096,9491000,Atividades de organizações religiosas ou filosóficas,1,1
02053711,4120400,Construção de edifícios,1,1
04360246,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
06077708,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",2,1
35483965,0111399,Cultivo de outros cereais não especificados anteriormente,2,1
20709374,1510600,Curtimento e outras preparações de couro,1,1
09302928,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
01009473,2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",1,1
10404860,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
05553301,1011201,Frigorífico - abate de bovinos,3,1
14419108,0311601,Pesca de peixes em água salgada,1,1
09637088,3811400,Coleta de resíduos não-perigosos,1,1
25109805,4211101,Construção de rodovias e ferrovias,1,1
27212648,4110700,Incorporação de empreendimentos imobiliários,2,1
31356763,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
38328918,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",1,1
40270958,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
21407318,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",2,1
46509104,0115600,Cultivo de soja,1,1
08531518,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
66575612,4211101,Construção de rodovias e ferrovias,1,1
00083287,8888888,Atividade Econônica não informada,1,1
13072388,4686902,Comércio atacadista de embalagens,1,1
04357905,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
19224134,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
45514922,4742300,Comércio varejista de material elétrico,1,1
54066339,2391503,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",1,1
30075501,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
04683393,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
41235813,4399105,Perfuração e construção de poços de água,1,1
09007096,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
19224814,3811400,Coleta de resíduos não-perigosos,1,1
12335668,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
19700243,0119909,Cultivo de tomate rasteiro,1,1
24471108,0810005,Extração de gesso e caulim,1,1
08633849,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
92783679,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
05276312,1061902,Fabricação de produtos do arroz,1,1
03817070,4399199,Serviços especializados para construção não especificados anteriormente,2,1
00792706,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
13697410,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2,2
10639435,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões",1,1
38505151,3511501,Geração de energia elétrica,1,1
39649359,4211101,Construção de rodovias e ferrovias,1,1
40743674,3314799,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,1,1
04802920,4110700,Incorporação de empreendimentos imobiliários,1,1
77081909,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
01513315,4313400,Obras de terraplenagem,1,1
02649132,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
00005352,8888888,Atividade Econônica não informada,1,1
00005638,5611201,Restaurantes e similares,1,1
05276956,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
05705112,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
04285694,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",1,1
03013179,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
60592375,4669999,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,1,1
00830188,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
47283262,2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",1,1
07558179,1099604,Fabricação de gelo comum,1,1
20051181,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
22447684,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",37,2
00001180,3512300,Transmissão de energia elétrica,75,5
07078042,0131800,Cultivo de laranja,18,2
29067113,4399199,Serviços especializados para construção não especificados anteriormente,508,21
61139432,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",169,5
00913233,4511102,"Comércio a varejo de automóveis, camionetas e utilitários usados",5,1
20542013,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",8,2
12901925,0210101,Cultivo de eucalipto,53,6
54360623,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",125,12
81433765,4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",39,10
93384311,2211100,Fabricação de pneumáticos e de câmaras-de-ar,1,1
00158230,2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",1,1
00394452,8422100,Defesa,566,2
02019761,4679699,Comércio atacadista de materiais de construção em geral,7,3
02035105,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",17,5
02174951,0810004,Extração de calcário e dolomita e beneficiamento associado,7,3
03886930,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
02341470,3514000,Distribuição de energia elétrica,26,3
04813506,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",9,1
05820858,5229099,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,4,2
08323347,4120400,Construção de edifícios,18,2
17428731,8012900,Atividades de transporte de valores,195,4
00951459,4771701,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",11,5
25431024,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",7,6
26917005,4684299,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,24,4
28672087,0230600,Atividades de apoio à produção florestal,63,12
28606630,8888888,Atividade Econônica não informada,49,3
30411573,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
32438772,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",44,2
32492373,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",56,7
33570797,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",11,3
18041863,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,3
02373517,5231102,Atividades do Operador Portuário,11,5
45007937,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",97,3
48194609,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",6,4
60853942,2312500,Fabricação de embalagens de vidro,51,16
73704389,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",16,2
75173575,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",36,9
76610062,0899199,Extração de outros minerais não-metálicos não especificados anteriormente,41,6
76816792,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
04938407,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",1,1
07344272,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,4
26275420,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",13,5
30527352,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
00028399,9312300,"Clubes sociais, esportivos e similares",1,1
65107971,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",22,3
07072909,3512300,Transmissão de energia elétrica,2,1
10782639,2062200,Fabricação de produtos de limpeza e polimento,4,1
01904566,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
00021912,4530701,Comércio por atacado de peças e acessórios novos para veículos automotores,1,1
07283842,3511501,Geração de energia elétrica,6,2
02027952,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",7,2
62862479,4687703,Comércio atacadista de resíduos e sucatas metálicos,10,2
93824563,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",7,2
07502787,4691500,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",3,2
03400080,2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",14,4
02600407,4211101,Construção de rodovias e ferrovias,2,1
51775690,2733300,"Fabricação de fios, cabos e condutores elétricos isolados",21,5
09059844,9412099,Outras atividades associativas profissionais,1,1
08245415,0131800,Cultivo de laranja,6,1
48584510,2539001,"Serviços de usinagem, tornearia e solda",3,3
10536371,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
05457125,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",13,5
10895989,8599604,Treinamento em desenvolvimento profissional e gerencial,1,1
11724547,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
10302599,0724301,Extração de minério de metais preciosos,7,1
04706416,4679601,"Comércio atacadista de tintas, vernizes e similares",5,5
04335788,5229002,Serviços de reboque de veículos,4,2
03431716,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",9,2
13545808,0154700,Criação de suínos,5,1
10197621,4683400,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",10,3
67890426,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",9,2
14270041,4313400,Obras de terraplenagem,2,1
01106257,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,6,5
00494516,4313400,Obras de terraplenagem,2,1
08407920,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos",1,1
10554840,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,1
03509978,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões",68,2
11434993,3314707,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,1,1
14605065,5211701,Armazéns gerais - emissão de warrant,18,3
03721769,4634601,Comércio atacadista de carnes bovinas e suínas e derivados,19,6
88074364,4211101,Construção de rodovias e ferrovias,7,1
17750886,2099199,Fabricação de outros produtos químicos não especificados anteriormente,5,2
20658296,4110700,Incorporação de empreendimentos imobiliários,1,1
19792977,8211300,Serviços combinados de escritório e apoio administrativo,6,4
08093504,0810008,Extração de saibro e beneficiamento associado,2,2
21947956,4221903,Manutenção de redes de distribuição de energia elétrica,28,3
17091690,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
23096269,3511501,Geração de energia elétrica,4,3
07591258,0155505,Produção de ovos,10,4
12478298,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
04702287,2330305,Preparação de massa de concreto e argamassa para construção,3,3
05219549,0810009,Extração de basalto e beneficiamento associado,3,2
00350232,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",16,3
26865909,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,1
24321382,0155505,Produção de ovos,9,4
06373063,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",7,1
02633583,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",24,2
33380561,4110700,Incorporação de empreendimentos imobiliários,1,1
27790783,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",2,2
30442051,4683400,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",14,5
41948065,3314717,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",1,1
16836335,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",10,2
37813181,0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",1,1
29358153,6462000,Holdings de instituições não-financeiras,1,1
18627195,4647801,Comércio atacadista de artigos de escritório e de papelaria,19,3
56998438,4689301,"Comércio atacadista de produtos da extração mineral, exceto combustíveis",9,5
02373485,2330305,Preparação de massa de concreto e argamassa para construção,8,1
47075363,4511104,Comércio por atacado de caminhões novos e usados,25,2
45987062,2599399,Fabricação de outros produtos de metal não especificados anteriormente,17,4
52508742,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
17192048,2330305,Preparação de massa de concreto e argamassa para construção,9,3
17803300,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",20,2
57149146,5211701,Armazéns gerais - emissão de warrant,1,1
80432693,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",35,7
56959422,2511000,Fabricação de estruturas metálicas,4,1
01819550,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,1,1
00456850,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",1,1
06751564,3104700,Fabricação de colchões,6,3
29915238,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",3,1
33150608,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",4,1
49612377,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",11,2
06341475,4313400,Obras de terraplenagem,2,1
02962425,2219600,Fabricação de artefatos de borracha não especificados anteriormente,4,3
76557867,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",6,1
21574355,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
69627727,2391501,"Britamento de pedras, exceto associado à extração",4,3
25385642,4313400,Obras de terraplenagem,8,2
81472243,2229302,Fabricação de artefatos de material plástico para usos industriais,3,3
84718741,1061901,Beneficiamento de arroz,15,4
50377159,0899199,Extração de outros minerais não-metálicos não especificados anteriormente,9,4
50479476,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",6,3
76560275,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",8,1
02762121,5231102,Atividades do Operador Portuário,22,3
44343762,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",2,2
29330594,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
33300971,0710301,Extração de minério de ferro,4,3
03237630,4930203,Transporte rodoviário de produtos perigosos,2,1
02191819,4722901,Comércio varejista de carnes - açougues,5,4
12024157,0134200,Cultivo de café,1,1
02216876,7020400,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",12,6
13431516,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",5,2
14788520,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
00929059,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),3,2
07955496,0131800,Cultivo de laranja,16,3
06146695,0810004,Extração de calcário e dolomita e beneficiamento associado,4,3
25158790,0810004,Extração de calcário e dolomita e beneficiamento associado,1,1
25318354,4687703,Comércio atacadista de resíduos e sucatas metálicos,1,1
21157133,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
09120837,4211101,Construção de rodovias e ferrovias,4,2
08688317,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",3,2
81451494,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,1
21421240,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,1
13053302,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",5,1
91399964,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
27500978,4313400,Obras de terraplenagem,3,1
43493124,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
29829452,0910600,Atividades de apoio à extração de petróleo e gás natural,5,1
97417117,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",6,1
05866984,2219600,Fabricação de artefatos de borracha não especificados anteriormente,9,4
14093288,4120400,Construção de edifícios,6,1
12447077,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,3,2
58397379,4687702,"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão",2,1
07881225,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
20146725,3312103,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,4,1
00000023,6311900,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",1,1
00063471,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,1,1
04073803,2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",1,1
55133094,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,5,3
04873789,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
78261252,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",21,1
03221900,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",3,3
30076475,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,2
83663484,1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",8,5
04602431,4930203,Transporte rodoviário de produtos perigosos,2,1
01683837,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
03113347,0891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",3,3
44411353,5211701,Armazéns gerais - emissão de warrant,9,3
26582379,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
03662454,4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),1,1
07320618,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
13592743,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
20395342,0133402,Cultivo de banana,1,1
22553497,1610204,Serrarias sem desdobramento de madeira em bruto  -Resserragem,1,1
21559841,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
18842271,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
15148375,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",1,1
14608193,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2,2
23468561,4789005,Comércio varejista de produtos saneantes domissanitários,1,1
34853469,4633801,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",1,1
38056418,0322101,Criação de peixes em água doce,4,2
78175734,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",10,2
14381634,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",5,3
50272748,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2,1
08251405,2061400,Fabricação de sabões e detergentes sintéticos,9,3
07271007,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",5,2
03691134,4213800,"Obras de urbanização - ruas, praças e calçadas",1,1
02737847,2851800,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",2,1
05756652,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
04429533,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",1,1
73514523,4120400,Construção de edifícios,1,1
36318624,7911200,Agências de viagens,1,1
54849682,4635401,Comércio atacadista de água mineral,3,2
65993339,4774100,Comércio varejista de artigos de óptica,2,2
33927294,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1,1
63041479,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4,2
09628926,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
20287659,1932200,"Fabricação de biocombustíveis, exceto álcool",1,1
09606256,8422100,Defesa,2,1
10653596,2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",2,1
13513244,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
19151953,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
24607928,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
16925334,0810004,Extração de calcário e dolomita e beneficiamento associado,5,2
05514905,4211101,Construção de rodovias e ferrovias,4,1
07433529,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,1
32219620,7719599,"Locação de outros meios de transporte não especificados anteriormente, sem condutor",1,1
05458585,4687701,Comércio atacadista de resíduos de papel e papelão,4,2
42876993,0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",4,1
52006915,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
49044443,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
57464104,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",2,1
02003338,5231102,Atividades do Operador Portuário,6,2
68295795,3314710,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,1,1
00000003,8711502,Instituições de longa permanência para idosos,1,1
05968684,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1,1
17429671,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",2,1
56182090,4120400,Construção de edifícios,3,2
01231646,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",1,1
51470474,4663000,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,2,2
52848868,2815102,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",2,2
07624625,2330305,Preparação de massa de concreto e argamassa para construção,1,1
35283753,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",1,1
11856283,1111901,Fabricação de aguardente de cana-de-açúcar,4,1
02639850,5231102,Atividades do Operador Portuário,2,1
