cluster,familia_principal,clientes_unicos,volume_total,receita_liquida_total,lucro_reposicao_total,preco_ponderado,margem_pct_ponderada,frequencia_dominante,receita_pct,receita_pct_acumulado,segmento_rank
0,HYDRA,651,634.34,6414213.33,1172198.86,10111.63308320459,18.2750214202807,Ocasionais,0.6861469754116228,96.18747313731065,31
0,GL 5,1036,467.49,5968834.4,911606.36,12767.833322637918,15.272770174357658,Ocasionais,0.6385035014563273,96.82597663876697,32
0,GEAR,492,437.24,5697380.53,1128906.71,13030.327806239136,19.81448674624512,Ocasionais,0.609465294854571,97.43544193362155,33
3,TOP TURBO,326,312.19,4675204.24,771721.59,14975.509273199013,16.50669255039861,Regulares,0.5001201369003415,97.93556207052188,34
3,TOP TURBO PRO,187,225.1,3838312.61,499935.34,17051.588671701466,13.024872927168902,Regulares,0.4105954156089461,98.34615748613083,35
0,TRM 5,538,246.65,3459039.41,464271.03,14024.080316237583,13.421964163166328,Ocasionais,0.37002346303332334,98.71618094916415,36
2,AV,28,320.73,3298324.49,651566.72,10283.804103139713,19.754476006695143,Ocasionais,0.35283132261202543,99.06901227177617,37
3,GEAR,116,122.84,2068194.3,418233.22,16836.488928687722,20.222143538448005,Regulares,0.22124073374225592,99.29025300551842,38
3,GL 5,219,99.13,1661288.73,240266.6,16758.687884595987,14.462663573236906,Regulares,0.1777128665246493,99.46796587204307,39
3,HYDRA XP,173,99.41,1451644.36,320452.63,14602.598933708883,22.075147248875748,Regulares,0.15528660113762402,99.62325247318068,40
3,TRM 5,122,61.13,975157.49,120845.77,15952.191886144283,12.392436220738047,Ocasionais,0.10431542075222651,99.72756789393291,41
4,AV,34,85.2,909664.23,141504.25,10676.810211267604,15.555657278070614,Regulares,0.09730941706216106,99.82487731099508,42
3,HYDRA,74,57.800000000000004,828112.39,153168.56,14327.203979238753,18.496107756581203,Regulares,0.08858558056399884,99.91346289155908,43
1,AV,11,63.0,719300.77,162486.99,11417.47253968254,22.58957542892662,,0.07694568645516994,99.99040857801425,44
3,Outras/Baixo volume,8,6.6,89662.17,19111.66,13585.177272727273,21.31518788804688,Ocasionais,0.009591421985701676,99.99999999999996,45
