Código Cliente,nome_cliente,cnae_descricao,estado_cliente,cluster,familia_principal,frequencia_mensal,nivel_frequencia,margem_pct_ponderada,nivel_margem,frete_por_m3,receita_liquida_total
20728,VIACAO CIDADE SORRISO LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",Paraná,2,TRM 5,1.0,Ocasionais,0.1932164917037494,Alta,329.0,10238.36
20608,ACQUA AGUA DE COCO DA AMAZONIA INDU,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Pará,2,GEAR,1.0,Ocasionais,0.1187997259503621,Baixa,334.0,2525.09
20572,RIMATUR TRANSPORTES LTDA.,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Paraná,2,TRM 5,1.2941176470588236,Ocasionais,0.179500160735031,Média,446.3587786259542,166018.57
20022,CATTANI SA TRANSPORTES E TURISMO,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",Pará,2,TOP TURBO,1.826086956521739,Regulares,0.1678830741921946,Média,0.0,172544.97
1847105,CFM - TERRAPLENAGEM E ENGENHARIA LT,Obras de terraplenagem,Maranhão,2,TOP TURBO,1.625,Regulares,0.2137075289041485,Alta,823.3310502283106,68351.78
1845758,MARCHIORI TRANSPORTES POLONI LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",São Paulo,2,GL 5,1.0,Ocasionais,0.0957287732846777,Baixa,861.8166666666666,11783.5
1845755,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",Mato Grosso do Sul,2,TOP TURBO,8.5,Frequentes,0.1167696168469175,Baixa,637.1701030927835,29818.63
30912,CONSTRUCAP CCPS ENGENHARIA E COMERC,Construção de edifícios,São Paulo,2,LITH EP,1.0,Ocasionais,0.0976602218026814,Baixa,653.4000000000001,15244.18
30203,COMPANHIA BRASILEIRA DE TRENS URBAN,Transporte ferroviário de passageiros municipal e em região metropolitana,Pernambuco,2,FLUIDO PARA RADIADOR,2.6666666666666665,Regulares,0.3286686381219676,Alta,472.80591497227357,94035.44
1846386,CASSOL PRE-FABRICADOS LTDA,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Rio de Janeiro,2,TRM 5,1.0,Ocasionais,0.1780980413834774,Média,180.07692307692307,9135.53
1845772,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",Mato Grosso,2,TOP TURBO,10.0,Frequentes,0.2048106342812514,Alta,1311.9767441860465,28911.78
1653349,MASTERBOI LTDA.,Frigorífico - abate de bovinos,Pernambuco,2,ATF TA,1.0,Ocasionais,0.1557920603779628,Média,643.56,3996.16
1652239,M S TRANSPORTES E LOCACAO LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Ceará,2,TOP TURBO AVANTE,1.0,Ocasionais,0.2473356040615381,Alta,387.7647058823529,17072.35
1629842,ARUJA TRANSPORTE COLETIVO LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",São Paulo,2,TRM 5 PLUS,1.0555555555555556,Ocasionais,0.1485207019810608,Média,630.5403225806451,38822.13
1626527,TOMASI LOGISTICA LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Rio Grande do Sul,2,TOP TURBO,1.0,Ocasionais,0.1282135916818609,Baixa,776.7888888888889,34173.99
1026980,TRANSTEC INDUSTRIA E COMERCIO DE TR,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",Mato Grosso do Sul,2,TOP TURBO,1.0,Ocasionais,0.1382845639051561,Média,520.675,6219.06
1756340,TRANS VALDIR LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Minas Gerais,2,TOP TURBO AVANTE,1.4444444444444444,Ocasionais,0.1135320472498156,Baixa,580.5837104072398,73907.59
1756251,CPFL SUL CENTRAIS ELETRICAS LTDA,Geração de energia elétrica,Rio Grande do Sul,2,TURBINA X,1.0,Ocasionais,0.110924695997005,Baixa,1152.55,3606.05
1180689,ELBA EQUIPAMENTOS E SERVICOS S/A,"Recuperação de materiais metálicos, exceto alumínio",Minas Gerais,2,GL 5 LS,1.1,Ocasionais,0.1963603152365063,Alta,331.003125,75396.09
22767,SERVICOS ESPECIAIS DE TRANSPORTES D,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",Amazonas,2,TRM 5,1.0,Ocasionais,0.2341646402038042,Alta,284.9,3281.58
1846654,OTIMA TRANSPORTES DE SALVADOR SPE S,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",Bahia,2,TOP TURBO,2.2,Regulares,0.1798716577540107,Média,531.8212560386472,32257.5
1846543,EMPRESA DE TRANSPORTES AGUIA DOURAD,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Sergipe,2,TOP TURBO,4.666666666666667,Frequentes,0.0875595787738965,Baixa,1002.4967105263157,111457.48
1846537,MMM CEREAIS LTDA,Comércio atacadista de cereais e leguminosas beneficiados,São Paulo,2,TOP TURBO AVANTE,1.0,Ocasionais,0.3783894670700564,Alta,505.0416666666667,6190.87
38812,SAFRA TRR LTDA,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),Mato Grosso,2,TOP TURBO,1.0,Ocasionais,0.0861429067496662,Baixa,1261.1499999999999,3138.97
1657153,SANTA CRUZ TRANSPORTES LTDA.,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",São Paulo,2,AVANTE,1.0,Ocasionais,0.1032013610019494,Baixa,521.3,4191.03
1657146,PORTAL AGRO COMERCIO E SERVICOS LTD,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Pará,2,LITHPLUS EP,1.0,Ocasionais,0.137426509560892,Média,589.7728055077451,110371.5
1626377,SL TRANSPORTES EIRELI,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Paraíba,2,TOP TURBO PRO,1.0,Ocasionais,0.0628986810418122,Baixa,1016.4666666666665,4492.9400000000005
1625261,ABC SISTEMA DE TRANSPORTE SPE S.A.,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",São Paulo,2,TRM 5 PLUS,3.0,Regulares,0.0409397686122215,Baixa,462.44999999999993,49797.79
1843142,"ARMAC LOCACAO, LOGISTICA E SERVICOS","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",Tocantins,2,LITH EP,1.0,Ocasionais,0.1772253267039204,Média,0.0,1136.35
1843139,"FM TRANSPORTES, LOCACAO E LOGISTICA","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",Minas Gerais,2,LITHPLUS EP,1.75,Regulares,0.1717788848606245,Média,294.83505154639175,44292.58
37061,TRANSPORTADORA EQUADOR LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Paraná,2,AVANTE,1.0,Ocasionais,0.0337760473994212,Baixa,537.7696700507614,297995.2
35083,POLICIA MILITAR DO ESTADO DE MINAS,Segurança e ordem pública,Minas Gerais,2,TOP AUTO SINTÉTICO,3.0,Regulares,0.3659720761824648,Alta,555.2916666666666,4374.76
1025413,PEDREIRA RIO VERDE LTDA - ME,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Goiás,2,TOP TURBO,1.2,Ocasionais,0.2320653860312939,Alta,605.6274509803922,63970.85
1020983,EXTERRAN SERVICOS DE OLEO E GAS LTD,Atividades de apoio à extração de petróleo e gás natural,Bahia,2,POLYTEC,1.0,Ocasionais,0.1029131454974273,Baixa,923.8750000000001,6631.32
1019400,COMANDO DA 3 REGIAO MILITAR,Defesa,Rio Grande do Sul,2,VALORA,2.0,Regulares,0.152834938717758,Média,497.16,7972.13
1017506,VIACAO CIDADE DO ACO LTDA - EM RECU,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Rio de Janeiro,2,LITHPLUS EP,1.0,Ocasionais,0.0341511490231957,Baixa,327.42105263157896,2972.96
1017494,EVANIL TRANSPORTES E TURISMO LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Rio de Janeiro,2,TRM 235.12,1.588235294117647,Regulares,0.0920713068905456,Baixa,239.0972461273666,190915.07
1013493,ARCOMPECAS CUIABA LOCACAO DE EQUIPA,Comércio atacadista de bombas e compressores; partes e peças,Mato Grosso,2,UTILE,2.0,Regulares,0.0821674527278114,Baixa,522.4193548387096,5298.57
31583,VIACAO ARAGUARINA LTDA. EM RECUPERA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",Goiás,2,TOP TURBO AVANTE,1.0,Ocasionais,0.1057387668293662,Baixa,260.2833333333333,12751.52
1006372,JURUENA ENERGIA S.A.,Geração de energia elétrica,Mato Grosso,2,GEAR,1.0,Ocasionais,0.1468094091183604,Média,1494.8523131672598,109665.11
1005233,VM MINERACAO LTDA,Beneficiamento de minério de metais preciosos,Mato Grosso,2,TOP TURBO,1.0,Ocasionais,0.0926184968991827,Baixa,0.0,69700.98
1004394,INDUSTRIA E COMERCIO DE QUEIJOS LIT,Fabricação de laticínios,Bahia,2,LITH EP,1.2,Ocasionais,0.1078976149180853,Baixa,1296.1411042944785,26251.09
1759192,CDR TRANSPORTES COMERCIO E DISTRIBU,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Goiás,2,GL 5,1.5,Ocasionais,0.1813145000120146,Alta,638.7895569620254,98213.16
1757615,ISOQUIMICA INDUSTRIAL LTDA,Fabricação de sabões e detergentes sintéticos,Ceará,2,HYDRA XP,1.4,Ocasionais,0.0999519141279394,Baixa,411.5294117647059,6446.8
